MSN,StateCode,Year,Data
AVTCP,US,2001,6921
AVTCP,US,2002,6682
AVTCP,US,2003,5987
AVTCP,US,2004,6189
AVTCP,US,2005,7006
AVTCP,US,2006,6626
AVTCP,US,2007,6258
AVTCP,US,2008,5603
AVTCP,US,2009,5261
AVTCP,US,2010,5358
AVTCP,US,2011,5360
AVTCP,US,2012,4975
AVTCP,US,2013,4429
AVTCP,US,2014,4298
AVTCP,US,2015,4188
AVTCV,US,1970,218
AVTCV,US,1981,610
AVTCV,US,1989,394
AVTCV,US,1995,331
AVTCV,US,1998,288
AVTXB,US,1960,297903
AVTXB,US,1961,290396
AVTXB,US,1962,262915
AVTXB,US,1963,253193
AVTXB,US,1964,235025
AVTXB,US,1965,221592
AVTXB,US,1966,194091
AVTXB,US,1967,166099
AVTXB,US,1968,154590
AVTXB,US,1969,128981
AVTXB,US,1970,100470
AVTXB,US,1971,90319
AVTXB,US,1972,85437
AVTXB,US,1973,83448
AVTXB,US,1974,81853
AVTXB,US,1975,71010
AVTXB,US,1976,67451
AVTXB,US,1977,70329
AVTXB,US,1978,71454
AVTXB,US,1979,70314
AVTXB,US,1980,64347
AVTXB,US,1981,56270
AVTXB,US,1982,46977
AVTXB,US,1983,47673
AVTXB,US,1984,43877
AVTXB,US,1985,50324
AVTXB,US,1986,58925
AVTXB,US,1987,45639
AVTXB,US,1988,48991
AVTXB,US,1989,47587
AVTXB,US,1990,44978
AVTXB,US,1991,41722
AVTXB,US,1992,41055
AVTXB,US,1993,38395
AVTXB,US,1994,38138
AVTXB,US,1995,39581
AVTXB,US,1996,37355
AVTXB,US,1997,39697
AVTXB,US,1998,35498
AVTXB,US,1999,39172
AVTXB,US,2000,36285
AVTXB,US,2001,34937
AVTXB,US,2002,33731
AVTXB,US,2003,30222
AVTXB,US,2004,31242
AVTXB,US,2005,35366
AVTXB,US,2006,33448
AVTXB,US,2007,31590
AVTXB,US,2008,28284
AVTXB,US,2009,26558
AVTXB,US,2010,27047
AVTXB,US,2011,27057
AVTXB,US,2012,25114
AVTXB,US,2013,22358
AVTXB,US,2014,21696
AVTXB,US,2015,21141
AVTXP,US,1960,59014
AVTXP,US,1961,57527
AVTXP,US,1962,52083
AVTXP,US,1963,50157
AVTXP,US,1964,46558
AVTXP,US,1965,43897
AVTXP,US,1966,38449
AVTXP,US,1967,32904
AVTXP,US,1968,30624
AVTXP,US,1969,25551
AVTXP,US,1970,19903
AVTXP,US,1971,17892
AVTXP,US,1972,16925
AVTXP,US,1973,16531
AVTXP,US,1974,16215
AVTXP,US,1975,14067
AVTXP,US,1976,13362
AVTXP,US,1977,13932
AVTXP,US,1978,14155
AVTXP,US,1979,13929
AVTXP,US,1980,12747
AVTXP,US,1981,11147
AVTXP,US,1982,9306
AVTXP,US,1983,9444
AVTXP,US,1984,8692
AVTXP,US,1985,9969
AVTXP,US,1986,11673
AVTXP,US,1987,9041
AVTXP,US,1988,9705
AVTXP,US,1989,9427
AVTXP,US,1990,8910
AVTXP,US,1991,8265
AVTXP,US,1992,8133
AVTXP,US,1993,7606
AVTXP,US,1994,7555
AVTXP,US,1995,7841
AVTXP,US,1996,7400
AVTXP,US,1997,7864
AVTXP,US,1998,7032
AVTXP,US,1999,7760
AVTXP,US,2000,7188
AVTXP,US,2001,6921
AVTXP,US,2002,6682
AVTXP,US,2003,5987
AVTXP,US,2004,6189
AVTXP,US,2005,7006
AVTXP,US,2006,6626
AVTXP,US,2007,6258
AVTXP,US,2008,5603
AVTXP,US,2009,5261
AVTXP,US,2010,5358
AVTXP,US,2011,5360
AVTXP,US,2012,4975
AVTXP,US,2013,4429
AVTXP,US,2014,4298
AVTXP,US,2015,4188
AVTXV,US,1970,218
AVTXV,US,1981,610
AVTXV,US,1989,394
AVTXV,US,1995,331
AVTXV,US,1998,288
BMTCB,US,1960,1319871
BMTCB,US,1961,1294762
BMTCB,US,1962,1300242
BMTCB,US,1963,1323316
BMTCB,US,1964,1336802
BMTCB,US,1965,1334761
BMTCB,US,1966,1368986
BMTCB,US,1967,1340249
BMTCB,US,1968,1419494
BMTCB,US,1969,1440488
BMTCB,US,1970,1430962
BMTCB,US,1971,1432323
BMTCB,US,1972,1503065
BMTCB,US,1973,1529068
BMTCB,US,1974,1539661
BMTCB,US,1975,1498733
BMTCB,US,1976,1713373
BMTCB,US,1977,1838332
BMTCB,US,1978,2037605
BMTCB,US,1979,2151906
BMTCB,US,1980,2471691
BMTCB,US,1981,2599746
BMTCB,US,1982,2664743
BMTCB,US,1983,2904414
BMTCB,US,1984,2971603
BMTCB,US,1985,3016233
BMTCB,US,1986,2932095
BMTCB,US,1987,2877576
BMTCB,US,1988,3016049
BMTCB,US,1989,3159354
BMTCB,US,1990,2736982
BMTCB,US,1991,2781799
BMTCB,US,1992,2931673
BMTCB,US,1993,2906004
BMTCB,US,1994,3027532
BMTCB,US,1995,3101141
BMTCB,US,1996,3156805
BMTCB,US,1997,3102838
